/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_06_line_00791.wav(130.43478260869566%)|lừa lọc mọi người cầm nhà bắt nợ mọi người giết người hiếp  |người lọc mọi người cầm nhà bắt nợ mọi người giết người hiếp
tts_lines_part_06_line_00807.wav(112.12121212121211%)|hai người im lặng nhìn nhau bốn con mắt đầy một thứ ánh sáng sung sướng vì hiểu nhau|hai người yên là nhìn nhau bốn con mắt đầy một thứ ánh sáng sung sướng vì hiểu nhau 
tts_lines_part_06_line_00809.wav(118.75%)|chương hai mươi sáu|trên hai mươi sáu  
tts_lines_part_06_line_00812.wav(97.89473684210527%)|cả toa chỉ có một người đàn bà mặc cái áo màu xanh da trời đương ngồi xem một tờ báo mà tờ báo thì che lấp mất cả mặt người ấy|cả toa chỉ có một người đàn bà mà cái áo màu xanh da trời đưa mỗi xe một tờ báo mà tờ báo thì che lấp mất cả mặt người ấy     
tts_lines_part_06_line_00814.wav(110.3896103896104%)|chàng đứng ngẩn người hồi lâu lôi ở túi ra mẩu giấy điện tín mới nhận được hai tiếng đồng hồ trước|chàng đứng mà người hồi lâu lôi ở túi ra mẩu giấy điện tín mới nhận được hai tiếng đồng hồ trước  
tts_lines_part_06_line_00819.wav(21.428571428571427%)|long lật mẩu giấy|long lật mẩu gánh
tts_lines_part_06_line_00830.wav(96.49122807017544%)|nói xong long đến ngồi bên cạnh hôn vợ chưa cưới bằng một cái hôn rất dài|nói xong long đến mỗi bên cạnh hôn vợ chưa cưới bằng một cái hôn rất dài 
tts_lines_part_06_line_00831.wav(120.0%)|tuyết   |duy nhất
tts_lines_part_06_line_00833.wav(131.25%)|ngộ quá nhỉ mình nhỉ |mà có ai nhỉ mình nhỉ
tts_lines_part_06_line_00844.wav(27.27272727272727%)|chính thế đấy |chính thế đánh
tts_lines_part_06_line_00860.wav(33.33333333333333%)|sao|sau
tts_lines_part_06_line_00880.wav(116.66666666666667%)|tuy vậy|vì vậy 
tts_lines_part_06_line_00886.wav(94.54545454545455%)|long và tuyết đến hôtel de la gare cả hai tự nhiên như một cặp vợ chồng |long và tuyết đến hô theo đó là ghe cả hai tự nhiên như một cặp vợ chồng
tts_lines_part_06_line_00892.wav(48.214285714285715%)|như một cái máy long ra khép cửa rồi quay về ngồi bên tuyết mặt thẩn thờ|như một cái máy long ra khép cửa rồi quay về mỗi bên tuyết mặt thẩn thờ 
tts_lines_part_06_line_00903.wav(115.234375%)|mà nếu không thì ít ra tuyết cũng đã hư hỏng theo cái lối bọn phụ nữ lẳng lơ tột bậc có hàng chục bạn giai và nhân tình rất lẳng lơ nhưng rất khôn ngoan không giữ gìn cho tuyết sạch giá trong mà tựu trung vẫn giữ được tuyết sạch giá trong đã lần lượt cho nhân ngãi làm đủ mọi trò ô trọc nhưng chưa cho ai hưởng cái ân huệ cuối cùng|mà nếu không thì ra tuyết cũng đã hư hỏng theo cái lối bọn phụ nữ lẳng lơ tột bậc có hàng chục bạn giai và nhân tình rất lẳng lơ nhưng rất khôn ngoan không giữ gìn cho tuyết sạch giá trong mà tựu trung vẫn giữ được tuyết sạch giá trong đã lần lượt cho nhân ngãi làm đủ mọi trò ô trọc nhưng chưa cho ai hưởng cái ân huệ cuối cùng   
tts_lines_part_06_line_00905.wav(67.24137931034483%)|long bất giác nghĩ đến cuốn truyện lesdemi vierges của marcel prévost    |long bất giác nghĩ đến cuốn chuyển lét đi mi đi a ri cô mát dạo bờ rô bốt
tts_lines_part_06_line_00910.wav(71.31782945736434%)|long tự hỏi như vậy thì thấy bao nhiêu đô lực của sự hoài nghi của sự giận giỗi của lòng tự ái bị thương làm cho quả tim trong ngực chàng phải khám phá cho ra mới được|long tự hỏi như vậy thì thấy bao nhiêu đô lực của sự hoài nghi của sự giận dỗi của lòng tự ái bị thương làm cho quả tim trong ngực chàng phải khám phá cho ra mới được 
tts_lines_part_06_line_00926.wav(50.0%)|thốt nhiên tuyết ngồi lên kêu|thốt nhiên tuyết mời lên kêu 
tts_lines_part_06_line_00929.wav(117.3913043478261%)|tuyết cười khanh khách thêm|mới cười khanh khách thêm  
tts_lines_part_06_line_00937.wav(175.0%)|ừ nhé  |tôi nhé
tts_lines_part_06_line_00944.wav(59.25925925925925%)|long chạy đến ôm choàng lấy tuyết|long chạy đến ôm trọn lấy tuyết  
tts_lines_part_06_line_00950.wav(114.28571428571428%)|tuyết ơi|biết ơi 
tts_lines_part_06_line_00951.wav(100.0%)|tuyết ơi|biết rồi
tts_lines_part_06_line_00973.wav(114.28571428571428%)|tuyết ơi|biết ơi 
tts_lines_part_06_line_00974.wav(125.0%)|tuyết yêu quí nhất đời của anh ơi anh xin lỗi tuyết|hết yêu quý nhất đời của anh ơi anh xin lỗi tuyết  
tts_lines_part_06_line_00982.wav(108.84955752212389%)|nhưng chợt ba tiếng chuông đủng đỉnh trong một cái đồng hồ trên giường đã vội làm cho long giật mình phải tự tháo gỡ ra ngoài sự ôm ấp của tuyết|nhưng chợt ba tiếng trung đồng đỉnh trong một cái đồng hồ trên giường đã vội làm cho long giật mình phải tự tháo gỡ ra ngoài sự ôm ấp của tuyết 
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00987.wav
tts_lines_part_06_line_01011.wav(71.60493827160494%)|chàng đứng ngoài phòng và cũng như người gác đã bị mắng lắng tai nghe thì thấy trong phòng giấy họ nói|chàng đứng ngoài phòng và cũng như người khác đã bị bắn lẫn tai nghe thì thấy trong phòng giấy họ nói 
tts_lines_part_06_line_01012.wav(25.925925925925924%)|ông cho phép tôi gọi ông là anh nhé|ông cho phép tôi gọi ông lại nhé   
tts_lines_part_06_line_01027.wav(40.0%)|tôi muốn rằng anh lấy tôi thì ít cũng phải vì|tôi muốn rằng anh lấy tôi thì cũng phải vì   
tts_lines_part_06_line_01044.wav(40.0%)|trong phòng tĩnh tâm lúc ấy chỉ có tiếng thuốc phiện rầm rộ chiu vào nhĩ tẩu |trong phòng tĩnh tâm lúc ấy chỉ có tiếng thuốc phiện giảm rộ chiu vào như tàu
tts_lines_part_06_line_01048.wav(71.23287671232876%)|đối diện ở bên kia khay đèn cô cẩm ngoay ngoáy nằm tiêm rất ngoan ngoãn cô đưa dọc ra khẽ khắc|đối diện ở bên kia khay đèn cô cẩm hay gan nằm tiêm rất ngoan mãn cô đưa dọc ra khẽ khắc      
tts_lines_part_06_line_01055.wav(125.92592592592592%)|quái nhỉ cậu mà cũng còn buồn kia à|có nhỉ cậu mà cũng còn buồn kia    
tts_lines_part_06_line_01069.wav(37.5%)|ấy chớ đấy |ấy chớ đánh
tts_lines_part_06_line_01073.wav(50.0%)|chết|chị 
tts_lines_part_06_line_01074.wav(50.0%)|chết|thế 
tts_lines_part_06_line_01099.wav(20.754716981132077%)|cả ba lấy áo dài mặc vào đứng hầu quanh sập như sửa soạn nghênh tiếp|cả ba lấy áo dài mặc vào đứng hầu quanh sập như sửa soạn lên tiếp   
tts_lines_part_06_line_01112.wav(20.0%)|để bảo|để bao
tts_lines_part_06_line_01116.wav(28.57142857142857%)|chị kiểm|chỉ kiếm
tts_lines_part_06_line_01119.wav(37.5%)|dạ yến nhé|dạ dẫn nhẹ
tts_lines_part_06_line_01124.wav(33.33333333333333%)|yến|đến
tts_lines_part_06_line_01138.wav(48.97959183673469%)|trong khi phải đợi thì hãy cho vài hộp bénarès nữa lên đây mau  |trong khi phải đợi thì hãy cho vài hộp be ne rét nữa lên đây mau
tts_lines_part_06_line_01145.wav(76.92307692307693%)|mở bốn chục chai nước suối viten đổ vào thùng rồi pha nửa chai cô lôn để cụ giội lại|mở bốn chục chai nước suối vi tàn đổ vào thùng rồi pha nửa chai cô lôn để cụ rồi lại
tts_lines_part_06_line_01150.wav(20.0%)|này chị kiểm|này chỉ kiếm
tts_lines_part_06_line_01161.wav(25.0%)|xong|song
tts_lines_part_06_line_01165.wav(127.02702702702702%)|huynh ơi huynh mà là khách nhà này thì ấy là huynh là thượng khách của quan tỉnh trưởng hồ nam|mình ơi huynh mà là khách nhà này thì ấy là huynh là thượng khách của quan tỉnh trưởng hồ nam 
tts_lines_part_06_line_01166.wav(55.81395348837209%)|chẳng gì thì huynh cũng là bạn cũ của một nhà triệu phú  |chẳng gì thì huynh cũng là bạn cũng của một nhà triệu phú
tts_lines_part_06_line_01171.wav(130.2325581395349%)|quan bác xử riêng với tôi như thế kể thật đã là chí tình|con bác xử riêng với tôi như thế kể thật đã là chí tình 
tts_lines_part_06_line_01176.wav(57.14285714285714%)|cô kiểm đến để ở khay đèn hai hộp thuốc cống rồi lặng lẽ quay ra|cô kiểm đến để ở khay đèn hai hộp cứ cống rồi lặng lẽ quay ra   
tts_lines_part_06_line_01178.wav(100.0%)|bây giờ thì quan bác đã nhận ra được tôi là ai rồi|bây giờ thì con bác đã nhận ra được tôi là ai rồi 
