VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK01_R023|d_ɤ̆_w_1 l_a_2 t_i_ŋ_2 iə_w_1 d_i_k_5b tʰ_ɯ_k_6b
VIVOSSPK01_R024|k_u_ŋ_3 s_ɛ_3 ɣ_ă_p_6b x_ɔ_5 x_ă_n_1 v_i_2 x_o_ŋ͡m_1 k_ɔ_5 h_i_ŋ_2 ɛ_ŋ_4 d_e_4 d_o_j_5 c_iə_w_5
VIVOSSPK01_R025|t_ă_j_1 k_ɤ̆_m_2 m_o_t_6b k_ɔ_k͡p_6b t_iə_n_2 d_e_m_5 s_w_e_n_2 s_w_e_t_6b d_ɯə_1 c_ɔ_1 c_a_1 m_ɛ_6 k_o_1 z_ɤ̆_w_1
VIVOSSPK01_R026|c_ɔ_ŋ͡m_1 n_iə_m_2 f_ɤ̆_n_5 x_ɤ_j_4 k_uə_4 b_a_2 k_ɔ_n_1 ŋ_ɯ_1 z_ɤ̆_n_1
VIVOSSPK01_R027|b_ă_t_5b d_ɤ̆_w_2 l_ɔ_k͡p_6b k_ɔ_k͡p_6b t_iə_ŋ_5 z_u_j_2 d_u_k_6b k_uə_4 tʰ_ɤ_6 m_o_k͡p_6b
VIVOSSPK01_R028|v_iə_k_6b tʰ_iə_t_5b l_ɤ̆_p_6b t_o_k͡p_5b d_o_6 ɲ_ă_j_5 c_uə_t_6b
VIVOSSPK01_R029|k_e_t_5b l_w_ɤ̆_n_6 c_e_n_1 d_a_3 c_ɔ_1 tʰ_ɤ̆_j_5
VIVOSSPK01_R030|l_ă_n_6 ŋ_u_p_6b v_ɛ_n_1 h_o_2 t_ɤ̆_j_1 d_e_4 k_iə_m_5 s_o_ŋ͡m_5
VIVOSSPK01_R031|c_u_ŋ_5 t_o_j_1 k_ɯ_5 l_ɛ_n_1 l_ɛ_n_5 ɲ_i_n_2 v_a_2 c_ă_ŋ_4 tʰ_ɤ̆_j_5 ŋ_ɯə_ŋ_6 ŋ_ɤ̆_p_6b
VIVOSSPK01_R032|k_uə_4 ŋ_ɯə_j_2 m_ɛ_6 d_a_ŋ_1 f_a_j_4 k_ɤ̆_m_2 h_ɤ_j_1 b_ă_ŋ_2 l_a_5 k_ɤ̆_j_1
VIVOSSPK01_R033|h_u_n_1 d_u_k_5b n_e_n_1 t_i_ŋ_1 tʰ_ɤ̆_n_2 tʰ_i_1 d_ɤ̆_w_5 kw_a_4 k_a_m_4 v_ɤ_j_5 d_o_ŋ͡m_2 tʰ_a_p_5b
VIVOSSPK01_R034|x_o_ŋ͡m_1 z_ɛ_2 l_ɤ̆_n_2 l_e_n_1 k_ɔ_j_1 tʰ_ɯ_4
VIVOSSPK01_R035|n_e_n_1 v_iə_k_6b f_a_5 z_ɯ_ŋ_2 d_o_t_5b tʰ_a_n_1 ŋ_ă_j_2 k_a_ŋ_2 c_ɤ_4 n_e_n_1 b_ɯ_k_5b s_u_k_5b
VIVOSSPK01_R036|ɤ_4 d_ɤ_j_2 f_a_m_2 k_a_j_5 ɣ_i_2 d_u_ŋ_5 tʰ_ɤ_j_2 k_ɤ_1 m_ɤ_j_5 d_a_t_6b h_iə_w_6 kw_a_4
VIVOSSPK01_R037|k_ɔ_n_2 k_ɔ_5 t_a_k_5b z_u_ŋ_6
VIVOSSPK01_R038|z_ɤ̆_w_5 h_iə_w_6 z_w_i_1 ɲ_ɤ̆_t_5b d_e_4 ɲ_ɤ̆_n_6 z_a_1 x_ɔ_1 l_uə_5 v_i_ŋ_3 tʰ_ɛ_ŋ_2
VIVOSSPK01_R039|ɲ_ɯ_ŋ_1 z_o_j_2 k_u_ŋ_3 x_o_4 s_ɤ_4 d_e_n_5 z_ɯə_ŋ_2 n_a_w_2
VIVOSSPK01_R040|z_a_5 k_a_4 tʰ_uə_k_6b z_a_ŋ_6 v_o_1 k_u_ŋ_2 l_e_n_1 b_o_ŋ͡m_4 s_uə_ŋ_5 c_ɤ̆_m_2 t_ɛ_p_6b ɲ_ɛ_p_6b
VIVOSSPK01_R041|n_ɯ_3 tʰ_ɤ̆_n_2 t_ɯ_6 z_ɔ_1 v_ɤ_j_5 b_a_n_2 t_ă_j_1 k_ɤ̆_m_2 d_uə_k_5b
VIVOSSPK01_R042|ɲ_ɯ_ŋ_3 k_ɔ_n_1 s_ɤ̆_w_1 c_u_ŋ_5 tʰ_uə_k_5b z_ɤ_j_1 s_uə_ŋ_5 z_ă_j_3 z_uə_6
VIVOSSPK01_R043|v_ɯə_2 d_i_1 v_ɯə_2 k_a_1 ŋ_ɛu_1 ŋ_a_w_1
VIVOSSPK01_R044|z_ɯə_j_5 d_ă_j_5 b_iə_n_4
VIVOSSPK01_R045|ɲ_ɯ_ŋ_3 s_ɤ_j_6 b_u_n_5 d_ɯə_k_6b k_uə_n_6 tʰ_ɛ_ŋ_2 z_ɤ̆_j_1 c_a_w_3
VIVOSSPK01_R046|x_w_ɛ_ŋ_1 c_ɔ_n_2 c_e_n_1 t_ɤ̆_m_5 l_a_5 c_uə_j_5
VIVOSSPK01_R047|z_ɤ_j_1 v_a_w_2 k_ɛ_ŋ_4 d_i_w_2 h_i_w_1 b_ɤ_j_4 z_u_1 x_ɛ_k_5b tʰ_ɯə_1 tʰ_ɤ_t_5b
VIVOSSPK01_R048|s_ă_w_1 d_ɔ_5 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 n_ă_j_2 d_ɯə_k_6b c_ă_k_5b ŋ_iə_m_6 x_a_4 n_ă_ŋ_1 ɣ_i_1 ɲ_ɤ_5
VIVOSSPK01_R049|m_uə_n_5 s_ɛ_ŋ_2 d_iə_w_6 ŋ_w_iə_n_1 k_ɔ_n_1
VIVOSSPK01_R050|v_ɤ_j_5 ɲ_ɯ_ŋ_3 c_a_ŋ_2 f_a_w_5 t_ă_j_1 v_a_2 t_iə_ŋ_5 c_ɤ̆_m_2 c_o_2 t_a_n_5 tʰ_ɯə_ŋ_4 x_o_ŋ͡m_1 ŋ_ɤ_t_5b
VIVOSSPK01_R051|h_i_1 v_ɔ_ŋ͡m_6 ɤ_4 l_ɤ̆_n_2 s_i_ŋ_1 ɲ_ɤ̆_t_6b s_ă_w_1
VIVOSSPK01_R052|tʰ_eo_1 l_w_ɤ̆_t_6b ɲ_ɤ̆_n_1 kw_a_4 m_a_2 ɣ_ɤ̆_n_2 d_ɤ̆_j_1 x_w_a_1 h_ɔ_k͡p_6b d_a_3 c_ɯ_ŋ_5 m_i_ŋ_1 d_ɯə_k_6b
VIVOSSPK01_R053|o_ŋ͡m_1 l_ɯə_t_5b ɲ_ɛ_6 ŋ_ɔ_n_5 t_ă_j_1 ɣ_ɤ̆_j_2 ɣ_uə_k_6b c_e_n_1 ɲ_ɯ_ŋ_3 k_ɔ_n_1 c_ɯ_3
VIVOSSPK01_R054|f_a_j_4 z_ɯ_ŋ_2 m_ă_j_5 t_ă_w_2 v_a_2 l_ă_n_6 s_uə_ŋ_5 b_iə_n_4 z_u_ŋ_2 z_a_w_1 m_a_2 k_ă_t_5b
VIVOSSPK01_R055|v_a_2 m_o_t_6b ɲ_ɔ_m_5 ŋ_ɯə_j_2 d_a_ŋ_1 h_i_5 h_u_j_5 kw_ă_j_1 f_i_m_1
VIVOSSPK01_R056|h_a_j_1 b_a_n_2 c_ɤ̆_n_1 t_i_5 s_i_w_5 k_iə_1 m_ɤ_j_5 d_ɯə_1 d_ɯə_k_6b k_a_k_5b ɛ_m_1 v_e_2 t_ɤ_j_5 ɲ_a_2
VIVOSSPK01_R057|c_ă_j_4 ɲ_a_w_3 z_ɯə_j_5 n_ă_ŋ_5
VIVOSSPK01_R058|t_o_j_1 s_i_n_1 f_ɛ_p_5b z_a_1 ŋ_w_a_j_2 v_i_6 z_a_m_5 tʰ_i_6 c_ɛ_4 s_ă_ŋ_3 z_ɔ_ŋ͡m_6
VIVOSSPK01_R059|ɲ_ɯ_ŋ_1 tʰ_ɯ_k_6b z_a_1 k_ɔ_5 tʰ_e_4 x_o_ŋ͡m_1 f_a_j_4 l_a_2 ɲ_ɯ_1 v_ɤ̆_j_6
VIVOSSPK01_R060|z_a_k_5b z_a_w_5 z_a_k_5b t_i_m_2 z_u_p_5b v_iə_k_6b s_ă_w_1 t_e_t_5b
VIVOSSPK01_R061|n_e_n_1 d_ă_t_6b b_u_t_5b k_i_5 h_ɤ_p_6b d_o_ŋ͡m_2 c_ɔ_1 tʰ_w_e_1 v_ɤ_j_5 z_a_5 b_eo_2
VIVOSSPK01_R062|t_o_j_1 x_o_ŋ͡m_1 s_ɤ_6 k_ɔ_n_1 d_ɯə_ŋ_2 z_ă_ŋ_2 z_ă_k_6b t_ɯ_2 tʰ_i_6 tʰ_ɛ_ŋ_2
VIVOSSPK01_R063|m_o_t_6b ŋ_ɯə_j_2 ɣ_ɛ_ŋ_5 n_ɯə_k_5b z_ɯə_j_5 x_ɛ_1 s_uə_j_5 l_e_n_1
VIVOSSPK01_R064|s_a_ŋ_2 s_ă_j_4 tʰ_ɔ_k͡p_5b ŋ_ă_j_1 ŋ_ɔ_3 ɣ_ɛ_k_6b
VIVOSSPK01_R065|ŋ_ă_j_1 k_a_4 n_e_n_2 s_a_n_4 s_w_ɤ̆_t_5b h_iə_n_6 d_a_j_6 ɲ_ɯ_1 m_i_3
VIVOSSPK01_R066|v_e_2 h_ɛ_ŋ_2 v_i_1 c_w_iə_n_2 b_a_5 v_ă_n_1 h_w_a_5 f_ɤ̆_m_4 d_o_j_2 c_u_j_6 x_o_ŋ͡m_1 ŋ_uə_n_2 ɣ_o_k͡p_5b
VIVOSSPK01_R067|k_ɔ_5 tʰ_e_4 d_ɤ̆_j_1 l_a_2 k_a_j_5 k_a_m_6 b_ɤ̆_j_3 f_a_5 h_w_a_j_6 k_uə_4 b_ɔ_n_6 f_a_n_4 d_o_ŋ͡m_6
VIVOSSPK01_R068|n_ɛu_5 t_ɤ̆_p_6b c_u_ŋ_1 t_a_j_6 c_u_ŋ_1 t_ɤ̆_m_1 h_w_ɤ̆_n_5 l_w_iə_n_6 tʰ_e_4 tʰ_a_w_1 kw_o_k͡p_5b z_a_1 i_1 ɲ_o_n_4
VIVOSSPK01_R069|c_iə_n_5 x_u_1 z_ɯ_ŋ_2 s_a_k_5b l_a_2 m_o_t_6b v_u_ŋ_2 d_ɤ̆_m_2 l_ɤ̆_j_2 n_ɯə_k_5b m_ă_n_6
VIVOSSPK01_R070|x_iə_n_5 c_iə_k_5b tʰ_w_iə_n_2 c_ɔ_ŋ͡m_2 c_ɛ_ŋ_2 z_o_j_2 l_ɤ̆_t_6b ɲ_a_w_2
VIVOSSPK01_R071|k_ɔ_5 tʰ_e_4 c_ɔ_1 i_t_5b n_ɯə_k_5b m_uə_j_5 v_a_w_2 l_ɔ_ŋ͡m_2 b_a_n_2 t_ă_j_1
VIVOSSPK01_R072|t_o_j_1 t_i_ŋ_2 k_ɤ_2 f_a_t_5b h_iə_n_6 x_a_4 n_ă_ŋ_1 h_u_t_5b tʰ_iə_2 m_uə_ŋ_3
VIVOSSPK01_R073|x_i_1 k_a_4 h_a_j_1 v_ɯə_2 c_iə_n_5 tʰ_ă_ŋ_5 ŋ_w_a_n_6 m_u_k_6b
VIVOSSPK01_R074|t_o_j_1 d_a_3 c_a_j_4 kw_a_1 z_ɤ̆_j_1 f_u_t_5b ɲ_iə_m_3 s_ɛ_t_5b ɲ_ɯ_1 tʰ_e_5
VIVOSSPK01_R075|d_a_3 d_a_t_6b ɣ_ɤ̆_n_2 d_e_n_5 c_w_ɤ̆_n_4 kw_o_k͡p_5b t_e_5
VIVOSSPK01_R076|x_i_1 l_a_m_2 m_ɤ_j_5 c_u_4 iə_w_5 l_a_2 c_a_ŋ_5 ɲ_ɯə_6 c_ɯ_5 x_o_ŋ͡m_1 m_ɤ_4 z_o_ŋ͡m_6
VIVOSSPK01_R077|t_i_m_2 k_ɛ_k_5b l_ɤ̆_t_6b m_ă_t_6b k_ɛ_4 k_ɤ̆_j_6 kw_iɛ_n_2 z_ɯə_3 c_o_n_5 k_o_ŋ͡m_1 d_ɯə_ŋ_2
VIVOSSPK01_R078|z_ɯ_ŋ_6 k_ɯ_5 z_ɯ_ŋ_6
VIVOSSPK01_R079|w_i_1 t_i_n_5 k_uə_4 m_o_t_6b f_ɔ_ŋ͡m_5 v_iə_n_1
VIVOSSPK01_R080|m_o_t_6b l_ɔ_2 ɣ_ɛ_k_6b c_o_ŋ͡m_1 c_e_ŋ_1 c_e_n_1 s_ɯə_n_2 d_o_j_2
VIVOSSPK01_R081|z_ɯə_3 kw_ɛ_ŋ_6 h_i_w_1 l_a_5 k_ɔ_4
VIVOSSPK01_R082|b_ɛ_n_1 tʰ_ɤ̆_j_5 h_ɯ_w_3 tʰ_ɤ̆_t_6b b_uə_n_2 k_ɯə_j_2
VIVOSSPK01_R083|c_u_ŋ_5 t_a_1 l_a_m_2 c_ɔ_1 m_ɔ_j_6 tʰ_ɯ_5 z_o_j_5 t_u_ŋ_1 l_e_n_1
VIVOSSPK01_R084|h_e_t_5b l_ɤ̆_n_2 n_ă_j_2 d_e_n_5 l_ɤ̆_n_2 x_a_k_5b
VIVOSSPK01_R085|l_e_1 tʰ_i_6 h_o_ŋ͡m_2 ŋ_ɔ_k͡p_6b c_u_4 kw_a_n_5 k_ɤ_m_1 n_iə_w_1 c_e_n_1 d_ɯə_ŋ_2 t_u_5 s_ɯə_ŋ_1
VIVOSSPK01_R086|v_u_6 v_iə_k_6b c_i_4 k_e_t_5b tʰ_u_k_5b s_ă_w_1 k_uə_k_6b d_o_t_6b k_i_k_5b
VIVOSSPK01_R087|b_ă_ŋ_2 m_ɔ_t_6b k_u_5 s_u_t_5b s_a_1 d_ɛ_p_6b m_ă_t_5b
VIVOSSPK01_R088|n_ɔ_j_5 k_ɤ̆_w_1 ɣ_i_2 k_u_ŋ_3 f_a_j_4 k_ɔ_5 d_ɤ̆_w_2 k_ɔ_5 d_uə_j_1
VIVOSSPK01_R089|c_ɤ_5 x_o_ŋ͡m_1 d_ɯə_k_6b n_ɔ_j_5 ɲ_ă_ŋ_1 ɲ_i_t_5b
VIVOSSPK01_R090|x_o_ŋ͡m_1 d_ɯə_k_6b l_ɤ̆_j_5 kw_ɛ_1 k_ɤ_j_2 ɣ_ɔ_3 ɣ_ɔ_3 l_e_n_1 t_ɤ̆_m_5 l_ɯ_ŋ_1 k_ɔ_ŋ͡m_2 k_uə_4 k_a_k_5b ŋ_a_j_2
VIVOSSPK01_R091|l_uə_n_1 s_ă_n_1 d_ɤ̆_w_2 x_ɛ_k_5b v_ɤ_j_5 ɲ_ɯ_ŋ_3 l_ɤ_j_2 n_u_ŋ_3 n_i_w_6 d_e_n_5 m_e_m_2 l_ɔ_ŋ͡m_2
VIVOSSPK01_R092|l_a_m_2 tʰ_o_j_4 t_u_ŋ_1 k_a_4 m_o_t_6b d_o_j_6 kw_ɤ̆_n_1 k_uə_4 k_ɛ_4 tʰ_u_2
VIVOSSPK01_R093|k_a_m_4 tʰ_ɤ̆_j_5 s_u_k_5b d_o_ŋ͡m_6 c_ɯə_k_5b m_o_t_6b d_iə_w_2 ɣ_i_2 d_ɔ_5
VIVOSSPK01_R094|l_a_m_2 z_ă_j_3 ɲ_a_2 c_ɔ_1 tʰ_w_e_1 k_uə_4 m_o_t_6b h_o_6 z_ɤ̆_n_1 f_a_j_4 b_ɔ_4 c_o_ŋ͡m_5
VIVOSSPK01_R095|t_iə_w_1 h_u_j_4 t_ɤ̆_t_5b k_a_4 k_a_k_5b b_ɤ̆_j_2 d_a_n_2
VIVOSSPK01_R096|m_a_2 ɲ_a_2 k_ɯə_4 v_a_2 k_o_ŋ͡m_1 v_iə_k_6b c_ă_ŋ_4 d_ɤ̆_w_1 v_a_w_2 d_ɤ̆_w_1
VIVOSSPK01_R097|b_a_2 k_ɔ_n_1 c_ɔ_ŋ͡m_1 s_ɔ_m_5 d_e_n_5 z_ɯ_6 z_i_ŋ_2 z_a_ŋ_1
VIVOSSPK01_R098|c_i_4 c_ă_m_1 c_ă_m_5 v_a_w_2 ɲ_ɯ_ŋ_3 d_o_j_5 t_ɯə_ŋ_6 k_a_w_1 k_ɤ̆_p_5b
VIVOSSPK01_R099|l_u_ŋ_2 s_u_k_6b m_uə_1 h_eo_1 b_e_ŋ_6 c_ɤ_4 d_i_1 z_e_t_5b m_o_4
VIVOSSPK01_R100|c_u_ŋ_5 s_ɤ̆_j_4 ɲ_a_2 z_a_1 b_u_j_6 d_ɤ_j_2 d_i_1 z_ɤ̆_t_6b z_ɔ_k͡p_6b d_ɤ̆_m_1 c_ɛ_m_5 kw_ɤ̆_j_6 f_a_5
VIVOSSPK01_R101|t_w_ɤ̆_n_2 z_o_j_2
VIVOSSPK01_R102|h_w_i_ŋ_2 f_ɯə_ŋ_1 d_o_ŋ͡m_1
VIVOSSPK01_R103|h_iə_n_6 k_o_ŋ͡m_1 a_n_1 f_ɯə_ŋ_2 k_o_k͡p_5b l_ɛu_5 d_a_ŋ_1 h_w_a_n_2 c_i_ŋ_4 h_o_2 s_ɤ_1
VIVOSSPK01_R104|m_a_2 l_ɤ_n_6 k_ɔ_5 x_i_1 c_i_1 f_i_5 n_uə_j_1 x_o_ŋ͡m_1 d_u_4 h_w_e_2 v_o_n_5
VIVOSSPK01_R105|k_ɔ_5 x_i_1 ɛ_ŋ_1 ɤ̆_j_5 n_ɔ_j_5 n_ă_ŋ_1 l_o_3 m_a_ŋ_3 v_a_2 d_ɛ_ŋ_5 ɛ_m_1 n_ɯə_3
VIVOSSPK01_R106|ɲ_ɯ_1 tʰ_i_k_5b d_i_1 c_ɤ̆_m_2 c_ɤ̆_m_6 c_e_n_1 ɲ_ɯ_ŋ_3 k_ɔ_n_1 d_ɯə_ŋ_2 kw_e_1
VIVOSSPK01_R107|c_ɔ_1 v_iə_k_6b f_a_t_5b c_iə_n_4 s_ɯ_6 ŋ_iə_p_6b k_uə_4 h_ɔ_6 t_a_j_6 v_iə_t_6b n_a_m_1
VIVOSSPK01_R108|tʰ_ɯ_4 d_iə_6 x_o_ŋ͡m_1 z_ɯ_1 h_w_a_ŋ_2 h_a_k_6b l_ɤ̆_w_1
VIVOSSPK01_R109|m_e_6 n_ɔ_j_5 m_uə_n_5 n_ɤ̆_w_5 ă_n_1 ŋ_ɔ_n_1 f_a_j_4 ɣ_ɯ_j_4 ɣ_ă_m_5 t_ɤ̆_m_1 c_a_ŋ_6 m_i_ŋ_2 v_a_w_2 c_ɔ_ŋ͡m_1 d_ɔ_5
VIVOSSPK01_R110|h_iə_m_5 x_i_1 l_ă_p_6b l_a_j_6 ɲ_ɯ_ŋ_3 k_ɤ̆_w_1 d_a_3 n_ɔ_j_5
VIVOSSPK01_R111|t_o_j_1 s_ɛ_3 x_o_ŋ͡m_1 k_o_5 ɣ_ă_ŋ_5 d_e_4 b_a_n_5 c_u_ŋ_5 h_ă_j_1 c_ɯ_ŋ_1 b_ă_j_2 c_u_ŋ_5 n_ɯə_3
VIVOSSPK01_R112|l_ɤ_j_2 x_w_iə_n_1 h_ɯ_w_3 i_k_5b z_ɛ_ŋ_2 c_ɔ_1 b_a_n_6
VIVOSSPK01_R113|m_a_2 ɲ_ɯ_ŋ_3 m_a_j_5 h_iə_n_1 n_ă_j_2 k_ɔ_n_2 k_ɔ_5 d_ɯə_k_6b s_ɯ_6 z_iə_ŋ_1 t_ɯ_1 k_ɤ̆_n_2 tʰ_iə_t_5b
VIVOSSPK01_R114|m_i_ŋ_1 d_e_n_5 f_ɔ_ŋ͡m_2 t_ɤ̆_p_6b tʰ_e_4 h_i_ŋ_2 k_uə_4 c_ɯə_ŋ_2 d_e_4 n_ɤ̆_ŋ_1 t_a_6
VIVOSSPK01_R115|t_e_t_5b n_ă_m_1 ŋ_w_a_j_5 k_a_4 ɲ_a_2 c_i_n_5 m_iə_ŋ_6 ă_n_1
VIVOSSPK01_R116|v_a_t_6b a_w_5 s_e_3 s_uə_ŋ_5
VIVOSSPK01_R117|c_ɯ_5 x_o_ŋ͡m_1 f_a_j_4 l_a_2 t_ɯ_2 k_a_k_5b iə_w_1 k_ɤ̆_w_2 z_iə_ŋ_1 l_ɛ_4
VIVOSSPK01_R118|k_o_ŋ͡m_1 ŋ_e_6 n_ă_j_2 s_ɯ_4 z_u_ŋ_6 ŋ_w_iə_n_1 l_iə_w_6 d_ɤ̆_w_6 n_ɛ_ŋ_2
VIVOSSPK01_R119|x_i_1 t_e_n_1 l_ɯə_4 b_ă_j_1 l_e_n_1
VIVOSSPK01_R120|h_ɤ̆_w_6 kw_a_4 k_uə_4 ɲ_ɯ_ŋ_3 c_ɤ̆_n_6 s_e_n_1 h_u_t_5b m_ă_w_5
VIVOSSPK01_R121|n_ă_m_2 ɤ̆_n_4 m_i_ŋ_2 c_ɔ_ŋ͡m_1 v_ɯə_n_2 k_ɤ̆_j_1 f_iə_5 s_ă_w_1 z_ă_j_3 f_o_5 o_n_2 a_w_2
VIVOSSPK01_R122|f_ɤ̆_n_2 n_a_w_2 m_a_ŋ_1 t_i_ŋ_5 d_iə_w_2 h_w_a_2 tʰ_i_6 c_ɯə_ŋ_2
VIVOSSPK01_R123|t_u_j_6 k_ɔ_n_1 k_ɔ_n_2 z_e_3 ɲ_ɤ_5 h_ɤ_n_1 f_iə_n_1 ɤ̆_m_1 z_a_1 l_w_ă_ŋ_2 ŋ_w_ă_ŋ_2 kw_a_5
VIVOSSPK01_R124|m_a_ŋ_1 t_i_ŋ_5 k_ɤ_1 h_o_j_6 c_ɔ_ŋ͡m_1 tʰ_i_6 h_iə_w_5 f_a_p_5b
VIVOSSPK01_R125|ɲ_ɯ_ŋ_3 c_a_ŋ_2 v_o_3 t_ă_j_1 v_a_ŋ_1 z_o_j_6 ɲ_ɯ_1 tʰ_ɤ_j_2 h_a_t_5b ɲ_ɔ_m_5
VIVOSSPK01_R126|c_i_4 h_w_a_n_2 tʰ_ɛ_ŋ_2 ɲ_ɔ_n_3 b_a_1 k_ɤ̆_j_1 s_o_5 x_u_k_5b z_ɯə_3
VIVOSSPK01_R127|b_a_n_1 t_a_j_2 c_i_ŋ_5 kw_a_n_4 c_i_6 c_u_ŋ_1 ɯə_ŋ_1 tʰ_uə_k_6b v_ă_n_1 f_ɔ_ŋ͡m_2 c_u_ŋ_1 ɯə_ŋ_1 d_a_ŋ_4
VIVOSSPK01_R128|v_i_2 c_i_4 k_ɔ_5 m_ɛ_6 l_a_2 ŋ_ɯə_j_2 z_a_ŋ_1 z_o_ŋ͡m_6 v_ɔ_ŋ͡m_2 t_ă_j_1
VIVOSSPK01_R129|d_ɯə_ŋ_2 v_a_w_2 h_a_ŋ_1 f_a_j_4 kw_a_1 ɲ_iə_w_2 d_w_a_n_6 ŋ_w_ă_n_2 ŋ_w_e_w_2 v_ɤ_j_5 k_a_k_5b h_o_2 n_ɯə_k_5b s_ɤ̆_w_1
