VIVOSSPK01_R001|kh_as_ch s_aj_n
VIVOSSPK01_R075|dd_ax dd_aj_t g_aaf_n dd_ees_n ch_uaar_n qw_oos_c t_ees
VIVOSSPK01_R076|kh_i l_af_m m_owis ch_ur i_eeus l_af tr_as_ng nh_waj ch_ws kh_oo_ng m_owr z_ooj_ng
VIVOSSPK01_R077|t_if_m c_as_ch l_aaj_t m_awj_t c_er c_aayj qw_i_eef_n z_wax ch_oos_n c_oo_ng dd_wowf_ng
VIVOSSPK01_R078|z_wj_ng c_ws z_wj_ng
VIVOSSPK01_R079|ui t_is_n c_uar m_ooj_t ph_os_ng v_iee_n
VIVOSSPK01_R080|m_ooj_t l_of g_aj_ch ch_oo_ng ch_ee_nh tr_ee_n s_wowf_n dd_ooif
VIVOSSPK01_R081|z_wax qw_aj_nh h_iu l_as c_or
VIVOSSPK01_R082|b_e_n th_aays h_wux th_aaj_t b_uoof_n c_wowif
VIVOSSPK01_R083|ch_us_ng t_a l_af_m ch_o m_oij th_ws z_oois t_u_ng l_ee_n
VIVOSSPK01_R084|h_ees_t l_aaf_n n_ayf dd_ees_n l_aaf_n kh_as_c
VIVOSSPK01_R085|l_ee th_ij h_oof_ng ng_oj_c ch_ur qw_as_n c_ow_m n_ieeu tr_ee_n dd_wowf_ng t_us s_wow_ng
VIVOSSPK01_R086|v_uj v_ieej_c ch_ir c_ees_t th_us_c s_au c_uooj_c dd_ooj_t c_is_ch
VIVOSSPK01_R087|b_awf_ng m_oj_t c_us s_us_t s_a dd_ej_p m_aws_t
VIVOSSPK01_R088|n_ois c_aau g_if c_ux_ng ph_ar_i c_os dd_aauf c_os dd_uooi
VIVOSSPK01_R089|ch_ows kh_oo_ng dd_wowj_c n_ois nh_aw_ng nh_is_t
VIVOSSPK01_R090|kh_oo_ng dd_wowj_c l_aays qw_e c_owif g_ox g_ox l_ee_n t_aas_m l_w_ng c_of_ng c_uar c_as_c ng_aif
VIVOSSPK01_R091|l_uoo_n s_aw_n dd_aauf kh_as_ch v_owis nh_wx_ng l_owif n_ux_ng n_iuj dd_ees_n m_eef_m l_of_ng
VIVOSSPK01_R092|l_af_m th_ooir t_u_ng c_ar m_ooj_t dd_ooij qw_aa_n c_uar c_er th_uf
VIVOSSPK01_R093|c_ar_m th_aays s_us_c dd_ooj_ng tr_wows_c m_ooj_t dd_ieeuf g_if dd_os
VIVOSSPK01_R094|l_af_m z_ayx nh_af ch_o th_uee c_uar m_ooj_t h_ooj z_aa_n ph_ar_i b_or tr_oos_ng
VIVOSSPK01_R095|t_ieeu h_uir t_aas_t c_ar c_as_c b_aayf dd_af_n
VIVOSSPK01_R096|m_af nh_af c_war v_af c_oo_ng v_ieej_c ch_awr_ng dd_aau v_aof dd_aau
VIVOSSPK01_R097|b_af c_o_n tr_o_ng s_os_m dd_ees_n z_wj z_if_nh z_a_ng
VIVOSSPK01_R098|ch_ir ch_aw_m ch_aws_m v_aof nh_wx_ng dd_oois t_wowj_ng c_ao c_aas_p
VIVOSSPK01_R099|l_uf_ng s_uj_c m_ua h_eo b_eej_nh ch_owr dd_i z_ees_t m_oor
VIVOSSPK01_R100|ch_us_ng s_aayr nh_af z_a b_uij dd_owif dd_i z_aaj_t z_oj_c dd_aa_m ch_es_m qw_aayj ph_as
VIVOSSPK01_R101|t_uaaf_n z_ooif
VIVOSSPK01_R102|h_u_if_nh ph_wow_ng dd_oo_ng
VIVOSSPK01_R103|h_ieej_n c_oo_ng a_n ph_wowf_ng c_oos_c l_eeus dd_a_ng h_oaf_n ch_ir_nh h_oof s_ow
VIVOSSPK01_R104|m_af l_owj_n c_os kh_i ch_i ph_is n_uooi kh_oo_ng dd_ur h_ueef v_oos_n
VIVOSSPK01_R105|c_os kh_i a_nh aays n_ois n_aw_ng l_oox m_ax_ng v_af dd_as_nh e_m n_wax
VIVOSSPK01_R106|nh_w th_is_ch dd_i ch_aaf_m ch_aaj_m tr_ee_n nh_wx_ng c_o_n dd_wowf_ng qw_ee
VIVOSSPK01_R107|ch_o v_ieej_c ph_as_t tr_ieer_n s_wj ng_ieej_p c_uar h_oj t_aij v_ieej_t n_a_m
VIVOSSPK01_R108|th_wr dd_iaj kh_oo_ng z_w h_oaf_ng h_aj_c l_aau
VIVOSSPK01_R109|m_eej n_ois m_uoos_n n_aaus aw_n ng_o_n ph_ar_i g_wir g_aws_m t_aa_m tr_aj_ng m_if_nh v_aof tr_o_ng dd_os
VIVOSSPK01_R110|h_iees_m kh_i l_awj_p l_aij nh_wx_ng c_aau dd_ax n_ois
VIVOSSPK01_R111|t_ooi s_ex kh_oo_ng c_oos g_aws_ng dd_eer b_as_n ch_us_ng h_ay tr_w_ng b_ayf ch_us_ng n_wax
VIVOSSPK01_R112|l_owif kh_uyee_n h_wux is_ch z_af_nh ch_o b_aj_n
VIVOSSPK01_R113|m_af nh_wx_ng m_ais h_iee_n n_ayf c_of_n c_os dd_wowj_c s_wj z_iee_ng t_w c_aaf_n th_iees_t
VIVOSSPK01_R114|m_i_nh dd_ees_n ph_of_ng t_aaj_p th_eer h_if_nh c_uar tr_wowf_ng dd_eer n_aa_ng t_aj
VIVOSSPK01_R115|t_ees_t n_aw_m ng_oais c_ar nh_af ch_is_n m_ieej_ng aw_n
VIVOSSPK01_R116|v_aj_t aos s_eex s_uoos_ng
VIVOSSPK01_R117|ch_ws kh_oo_ng ph_ar_i l_af t_wf c_as_c i_eeu c_aauf z_iee_ng l_er
VIVOSSPK01_R118|c_oo_ng ng_eej n_ayf s_wr z_uj_ng ng_uyee_n l_ieeuj dd_aauj n_af_nh
VIVOSSPK01_R119|kh_i t_ee_n l_war b_ay l_ee_n
VIVOSSPK01_R120|h_aauj qw_ar c_uar nh_wx_ng tr_aaj_n s_ee_n h_us_t m_aus
VIVOSSPK01_R121|n_awf_m aar_n m_if_nh tr_o_ng v_wowf_n c_aay ph_ias s_au z_ayx ph_oos oof_n aof
VIVOSSPK01_R122|ph_aaf_n n_aof m_a_ng t_is_nh dd_ieeuf h_oaf th_ij tr_wowf_ng
VIVOSSPK01_R123|t_uij c_o_n c_of_n z_eex nh_ows h_ow_n ph_iee_n aa_m z_a l_oawf_ng ng_oawf_ng qw_as
VIVOSSPK01_R124|m_a_ng t_is_nh c_ow h_ooij tr_o_ng th_ij h_ieeus ph_as_p
VIVOSSPK01_R125|nh_wx_ng tr_af_ng v_oox t_ay v_a_ng z_ooij nh_w th_owif h_as_t nh_os_m
VIVOSSPK01_R126|ch_ir h_oaf_n th_af_nh nh_ox_n b_a c_aay s_oos kh_us_c z_wax
VIVOSSPK01_R127|b_a_n t_aif ch_is_nh qw_ar_n tr_ij tr_u_ng wow_ng th_uooj_c v_aw_n ph_of_ng tr_u_ng wow_ng dd_ar_ng
VIVOSSPK01_R128|v_if ch_ir c_os m_ej l_af ng_wowif z_a_ng z_ooj_ng v_of_ng t_ay
VIVOSSPK01_R129|dd_wowf_ng v_aof h_a_ng ph_ar_i qw_a nh_ieeuf dd_oaj_n ng_oawf_n ng_oef_o v_owis c_as_c h_oof n_wows_c s_aau
VIVOSSPK01_R130|z_us_p h_ax_ng t_aw_ng th_ij ph_aaf_n
VIVOSSPK01_R131|h_wf_ng h_wj_c dd_ees_n t_aaj_n n_war dd_ee_m
VIVOSSPK01_R132|s_au dd_os v_ex th_ee_m c_as_c n_es_t ph_as_c h_oaj m_auf dd_e_n v_aof l_us_c kh_as_c
VIVOSSPK01_R133|z_aas_t nh_ieeuf ng_wowif z_aa_n
VIVOSSPK01_R134|dd_eeuf qw_ay c_uoof_ng dd_ow_n z_ar_n l_af z_o b_aj_n dd_ax qw_as ch_es_n
VIVOSSPK01_R135|v_af s_aws_p s_ees_p th_eo dd_us_ng b_oois c_ar_nh ph_i_m
VIVOSSPK01_R136|v_af dd_ax dd_ow_n ph_wow_ng i_eeu t_wf m_ooj_t ph_ias nh_w v_aayj
VIVOSSPK01_R137|m_ooix t_uaaf_n t_ooi l_aij c_os m_ooj_t ch_uyees_n z_owf t_ua tr_af v_i_nh s_aif g_of_n
VIVOSSPK01_R138|b_ee_n z_wowis m_ooj_t h_af_ng ch_wx m_ar_nh
VIVOSSPK01_R139|tr_o_ng t_ooi ph_ar_i t_wj z_aw_n m_if_nh dd_wf_ng b_ao z_owf t_wj h_uyeex_n
VIVOSSPK01_R140|m_af s_ex c_os c_as_ch z_a dd_eef ph_uf h_owj_p
VIVOSSPK01_R141|h_af a_nh t_uaas_n m_ooj_t ng_ooi s_ao dd_ieer_m h_ej_n m_owis t_oa_nh c_ux_ng th_waf nh_aaj_n m_uf nh_aj_c
VIVOSSPK01_R142|c_os th_ee_m n_ieef_m v_ui m_owis l_af z_a t_aws_m z_wax c_as_c h_ux_m n_wows_c c_aj_n
VIVOSSPK01_R143|m_a_ng h_if_nh z_as_ng c_uar m_ooj_t c_o_n kh_ir
VIVOSSPK01_R144|z_oa_nh z_oa_nh
VIVOSSPK01_R145|ng_ay c_ar tr_wows_c kh_i n_os dd_wowj_c ch_is_nh th_ws_c c_oo_ng b_oos
VIVOSSPK01_R146|a_nh l_is ch_ayj s_e oo_m
VIVOSSPK01_R147|v_ieej_c dd_aauf t_iee_n t_ooi ng_ix dd_ees_n
VIVOSSPK01_R148|n_aaus ng_uooij ng_aaj_m g_ows_m c_ais m_os_n th_ij_t g_af c_ws z_ai ng_oas_ch c_ar z_a
VIVOSSPK01_R149|owf th_awf_ng dd_os ch_aus n_ooij t_w s_aoj
VIVOSSPK01_R150|tr_o_ng s_uoos_t th_ees c_ir qw_a
VIVOSSPK01_R151|h_ay th_aa_m t_is_m ch_aaj_m l_af_nh
VIVOSSPK01_R152|th_wowf_ng c_u_ng c_aas_p nh_wx_ng m_a_nh m_oois
VIVOSSPK01_R153|nh_w_ng v_aax_n kh_oo_ng s_as_nh b_awf_ng n_ooix dd_au c_uar m_ooj_t c_o_n ng_wowif b_ij ch_af dd_aj_p
VIVOSSPK01_R154|ch_o s_ow_n ch_ayr th_awr_ng l_ee_n z_aays
VIVOSSPK01_R155|ng_ayf th_wowf_ng m_aws_t tr_wows_c m_aws_t s_au g_oof_ng g_as_nh ch_ayj ph_aj_t
VIVOSSPK01_R156|c_ws dd_awj_t c_o_n z_ao z_is_nh t_iees_t tr_ee_n c_ais z_iax
VIVOSSPK01_R157|m_af l_of_ng c_ws ph_aa_n v_aa_n v_eef l_ex dd_iee_n t_ir_nh owr dd_owif
VIVOSSPK01_R158|tr_ee_n dd_wowf_ng dd_i th_ir_nh th_oar_ng s_e ph_ar_i z_wf_ng l_aij
VIVOSSPK01_R159|t_ias c_o_n h_ai z_ows_t ch_uaar_n b_ij ch_aa_m l_war ng_oj_n b_uif nh_uif
VIVOSSPK01_R160|b_owir dd_os l_af m_ooj_t tr_o_ng nh_wx_ng dd_ieeuf z_aw_n ch_u_ng
VIVOSSPK01_R161|ng_wowif t_a c_ij_p c_eos ch_ij t_a l_aij
VIVOSSPK01_R162|c_os th_eer c_is_ch th_is_ch s_wj ph_as_t tr_ieer_n c_uar c_as_c t_ees b_aof n_aox
VIVOSSPK01_R163|l_ij_nh z_a l_ij_nh
VIVOSSPK01_R164|c_os th_eer g_aay z_a nh_wx_ng v_ees_t dd_or
VIVOSSPK01_R165|v_ieej_c s_e_m s_es_t ph_ar_i z_o h_ooij dd_oof_ng c_as_c ch_uyee_n z_a
VIVOSSPK01_R166|ch_iees_n z_ij_ch c_uoois c_uf_ng tr_o_ng n_oox l_wj_c ch_oos_ng n_aj_n aw_n c_aws_p b_ar_n qw_i_eef_n
VIVOSSPK01_R167|s_oo_ng h_aauj m_owis b_aws_t dd_aauf ch_uyeer_n m_auf dd_or qw_aj_ch c_oos h_wux c_uar ph_uf s_a
VIVOSSPK01_R168|dd_a s_oos b_as_n ch_ui v_af qw_ar_ng c_aos nh_w th_aaf_n z_wowj_c
VIVOSSPK01_R169|ng_eej s_ix h_aif m_ai th_a_nh z_u_ng v_af m_i_nh v_wowj_ng
VIVOSSPK01_R170|t_oos_t h_ow_n l_af ng_ay t_wf dd_aauf b_aj_n h_ayx dd_awj_t z_a nh_wx_ng c_aau h_oir
VIVOSSPK01_R171|kh_i c_as_c nh_af kh_oa h_oj_c h_af_n qw_oos_c ph_as_t h_ieej_n
VIVOSSPK01_R172|c_aau ch_uyeej_n v_eef a_nh s_i_nh v_iee_n t_if_nh ng_uyeej_n b_ij t_ai n_aj_n
VIVOSSPK01_R173|dd_o s_aau nh_w th_ees th_if ng_ui h_ieer_m l_aws_m
VIVOSSPK01_R174|v_af z_uf_ng z_aay th_aws_t l_w_ng s_iees_t c_oor a_nh nh_ieej_m ch_o dd_ees_n ng_aas_t s_iur
VIVOSSPK01_R175|b_af c_o_n th_wowf_ng s_uyee_n dd_au oos_m
VIVOSSPK01_R176|h_oj ch_aof nh_au c_wowif n_ois h_oo h_oos z_ooif nh_ay l_ee_n s_e m_ays ph_os_ng dd_i
VIVOSSPK01_R177|c_uar z_if c_uar m_ej v_af m_aays e_m
VIVOSSPK01_R178|ng_ur ng_ays
VIVOSSPK01_R179|v_af ng_aw_n ng_waf c_as_c b_iees_n ch_ws_ng
VIVOSSPK01_R180|nh_w_ng ph_aaf_n b_ieeur z_wow_ng l_wj_c l_wowj_ng dd_ax g_aay aas_n t_wowj_ng m_aj_nh
VIVOSSPK01_R181|ch_us_ng c_a_m c_ees_t s_ex th_ar c_as_c c_o_n t_i_n
VIVOSSPK01_R182|l_af tr_as_ch nh_ieej_m c_ieer_m tr_a c_uar qw_ar_n l_is th_ij tr_wowf_ng
VIVOSSPK01_R183|dd_eer n_aa_ng c_ao ch_aas_t l_wowj_ng s_ar_n ph_aar_m
VIVOSSPK01_R184|kh_us_c h_as_t ch_iees_n s_ix b_iee_n ph_of_ng th_af_nh ph_oos
VIVOSSPK01_R185|v_owis c_as_c ph_a z_ws_t dd_ieer_m g_oj_n g_h_ex
VIVOSSPK01_R186|n_eeus kh_oo_ng b_iees_t dd_wowj_c nh_wx_ng dd_ieeuf n_ayf
VIVOSSPK01_R187|c_as_c e_m th_aaj_m ch_is c_os th_eer tr_owr th_af_nh nh_wx_ng nh_af l_aaj_p tr_if_nh v_i t_is_nh
VIVOSSPK01_R188|ng_wowif t_a c_ux_ng th_aays z_aaus ch_aa_n c_af th_oj_t c_uar oo_ng
VIVOSSPK01_R189|owr dd_os c_os kh_oa kh_as_m ch_uyee_n v_eef l_es ch_o tr_er e_m
VIVOSSPK01_R190|s_as_ng s_as_ng tr_o_ng t_iees_ng ch_i_m tr_ao tr_aor z_aa_m z_a_n dd_aay dd_os
VIVOSSPK01_R191|kh_eos t_as_n
VIVOSSPK01_R192|nh_w_ng n_os kh_oo_ng c_of_n l_af m_ais aas_m c_uar b_aj_n n_wax
VIVOSSPK01_R193|c_u_ng th_ieeus c_aauf t_aw_ng l_awf_ng nh_awf_ng ch_uyee_n ng_ieej_p
VIVOSSPK01_R194|t_oor ch_ws_c h_oaj_t dd_ooj_ng n_ayf nh_awf_m c_os c_ees h_oaj_ch z_aif h_aj_n
VIVOSSPK01_R195|t_uis ch_aas_t dd_aayf dd_oof v_aaj_t tr_oo_ng c_eej_nh l_ee_n
VIVOSSPK01_R196|c_oo_ng ch_us_ng dd_ax qw_as l_owf_n m_aws_t
VIVOSSPK01_R197|n_ooix th_aas_t v_oj_ng v_owx oaf tr_o_ng t_aa_m h_oof_n c_uar c_aauj b_es m_uf l_oaf
VIVOSSPK01_R198|z_ar_nh ch_ir c_aays t_oois dd_a h_ai z_ar_nh
VIVOSSPK01_R199|dd_wowj_c t_if_m th_aays
VIVOSSPK01_R200|l_af_m m_aas_t dd_i b_ar_n ch_aas_t t_wj nh_iee_n c_uar c_uooj_c s_oos_ng
VIVOSSPK01_T001|l_af ch_ij dd_aay s_ao e_m kh_oo_ng b_aws_t m_ays
VIVOSSPK01_T002|c_os tr_ar t_ieef_n ch_o b_oos kh_oo_ng th_if b_aor
VIVOSSPK01_T003|nh_aaj_n dd_wowj_c t_i_n n_ayf g_oij l_aij ch_o t_ooi g_aas_p
VIVOSSPK01_T004|a_nh dd_a_ng n_awf_m m_ow af
VIVOSSPK01_T005|c_ais t_oor_ng dd_aif n_ayf h_ay ph_ees_t nh_ir
VIVOSSPK01_T006|ch_es_m z_os v_aix
VIVOSSPK01_T007|tr_wowf_ng dd_aij h_oj_c kh_oa h_oj_c t_wj nh_iee_n th_af_nh ph_oos h_oof ch_is m_i_nh
VIVOSSPK01_T008|m_ooj_t dd_oof_ng ch_is dd_ax qw_a dd_owif v_if b_eej_nh l_aauj
VIVOSSPK01_T009|ch_o t_ooi nh_aws_n dd_aij t_i_n n_aof c_ux_ng dd_wowj_c
VIVOSSPK01_T010|th_af_nh th_aaj_t ch_ia b_uoof_n
VIVOSSPK01_T011|c_ees_t th_us_c ch_wow_ng tr_if_nh t_uaaf_n n_ayf dd_ees_n dd_aay l_af h_ees_t
VIVOSSPK01_T012|ch_ir c_of_n c_os b_oos_n ng_ayf c_uoois c_uf_ng c_oos l_ee_n a_nh nh_es
VIVOSSPK01_T013|l_af_m s_ao dd_eer c_os t_ieef_n nh_a_nh nh_aas_t
VIVOSSPK01_T014|t_a ch_ir c_os h_ai ng_uyeej_n v_oj_ng c_uoois c_uf_ng
VIVOSSPK01_T015|m_ooj_t l_af g_awj_p l_aij t_aas_t c_ar c_as_c e_m ph_of
VIVOSSPK01_T016|h_ai l_af c_os th_ee_m h_ai ng_uyeej_n v_oj_ng n_wax
VIVOSSPK01_T017|tr_wowf_ng m_uoos_n v_owj
VIVOSSPK01_T018|nh_wx_ng s_ai l_aaf_m kh_i dd_i ch_oj_n kh_as_ch s_aj_n
VIVOSSPK01_T019|m_ooj_t ng_ayf c_uoois dd_oo_ng
VIVOSSPK01_T020|n_ois th_aaj_t dd_aays af
VIVOSSPK01_T021|qw_as t_oos_t z_ooif
VIVOSSPK01_T022|h_ay l_af qw_as l_aws_m z_ooif
VIVOSSPK01_T023|c_u_ng dd_af_n s_au c_uoois
VIVOSSPK01_T024|t_ooi ch_ees_t c_uf_ng v_owis as_nh tr_aw_ng
